Mouse moved,m,438,+,2019-06-11 10:49:12.176174,3,1
Button clicked,m,26,+,2019-06-11 10:49:12.201770,3,1
Mouse started moving,m,0,,2019-06-11 10:49:12.266590,3,1
Mouse moved,m,318,1,2019-06-11 10:49:12.584306,3,1
Button clicked,m,17,1,2019-06-11 10:49:12.600511,3,1
Mouse started moving,m,0,,2019-06-11 10:49:12.618791,3,1
Mouse moved,m,431,9,2019-06-11 10:49:13.049331,3,1
Button clicked,m,39,9,2019-06-11 10:49:13.087613,3,1
Mouse started moving,m,0,,2019-06-11 10:49:13.154559,3,1
Mouse moved,m,438,+,2019-06-11 10:49:13.592520,3,1
Button clicked,m,24,+,2019-06-11 10:49:13.616055,3,1
Mouse started moving,m,0,,2019-06-11 10:49:13.722633,3,1
Mouse moved,m,358,2,2019-06-11 10:49:14.080359,3,1
Button clicked,m,33,2,2019-06-11 10:49:14.113107,3,1
Mouse started moving,m,0,,2019-06-11 10:49:14.162993,3,1
Mouse moved,m,246,0,2019-06-11 10:49:14.408844,3,1
Button clicked,m,26,0,2019-06-11 10:49:14.434624,3,1
Mouse started moving,m,0,,2019-06-11 10:49:14.466891,3,1
Mouse moved,m,790,=,2019-06-11 10:49:15.256978,3,1
Button clicked,m,64,=,2019-06-11 10:49:15.320798,3,1
Mouse started moving,m,0,,2019-06-11 10:49:15.618787,3,1
Button clicked,k,79,1,2019-06-11 10:49:35.637291,3,2
Button clicked,k,100,+,2019-06-11 10:49:35.809790,3,2
Button clicked,k,91,2,2019-06-11 10:49:36.047169,3,2
Button clicked,k,74,+,2019-06-11 10:49:36.263124,3,2
Button clicked,k,82,3,2019-06-11 10:49:36.449362,3,2
Button clicked,k,88,+,2019-06-11 10:49:36.670155,3,2
Button clicked,k,79,4,2019-06-11 10:49:36.834226,3,2
Button clicked,k,90,+,2019-06-11 10:49:37.030486,3,2
Button clicked,k,79,5,2019-06-11 10:49:37.213989,3,2
Button clicked,k,106,+,2019-06-11 10:49:37.410262,3,2
Button clicked,k,89,6,2019-06-11 10:49:37.657244,3,2
Button clicked,k,120,+,2019-06-11 10:49:37.961444,3,2
Button clicked,k,79,7,2019-06-11 10:49:38.199302,3,2
Button clicked,k,110,+,2019-06-11 10:49:38.490301,3,2
Button clicked,k,98,8,2019-06-11 10:49:38.686288,3,2
